아이유, 좋은 날, 전체
멜로망스, 좋은 날, 드라마
윤하, 사건의 지평선, 락
(여자)아이들, Nxde, 댄스
아이브, After Like, 댄스
임영웅, 사랑은 늘 도망가, 드라마
뉴진스, Attention, 댄스
태이, Monologue, 발라드
빅마마, 체념, 발라드
블랙핑크, shut down, 댄스
블랙핑크, Pink Venom, 댄스
볼빨간사춘기, Love story, 인디
싸이, That That(Prod. & Feat. SUGA of BTS), 댄스
성시경, 너의 모든 순간, 발라드
잔나비, 주저하는 연인들을 위해,인디
소녀시대, FORVER 1, 댄스
에스파, 도깨비불(Illusion), 댄스
아이유(IU), strawberry moon, 락
케이시, 언제나 사랑해, 발라드
있지, SNEAKERS, 댄스
나연, POP!, 댄스
태연, INVU, 댄스
방탄소년단, 봄날, 댄스
폴킴, 있잖아, 드라마
르세라핌,ANTIFRAGILE,댄스
아이유,zeze,댄스
10CM,그라데이션,인디
